Genre,Title,Revenue,Budget,Rating,Popularity,Vote_Count,Vote_Average
Drama,The Chronicles of Narnia: Prince Caspian,1004558444,185000000,PG,41.04,20254,8.4
Action,The Chronicles of Narnia: Prince Caspian,1004558444,185000000,PG,41.04,20254,8.4
Crime,The Chronicles of Narnia: Prince Caspian,1004558444,185000000,PG,41.04,20254,8.4
Thriller,The Chronicles of Narnia: Prince Caspian,1004558444,185000000,PG,41.04,20254,8.4
Action,Speed Racer,585174222,140000000,PG,31.581,16886,7.6
Science Fiction,Speed Racer,585174222,140000000,PG,31.581,16886,7.6
Adventure,Speed Racer,585174222,140000000,PG,31.581,16886,7.6
Animation,The Mummy: Tomb of the Dragon Emperor,202404009,41677699,PG-13,29.872,1893,7.6
Family,The Mummy: Tomb of the Dragon Emperor,202404009,41677699,PG-13,29.872,1893,7.6
Fantasy,Bolt,393616788,37000000,PG,29.788,7952,6.0
Drama,Bolt,393616788,37000000,PG,29.788,7952,6.0
Romance,Bolt,393616788,37000000,PG,29.788,7952,6.0
Family,The Curious Case of Benjamin Button,603900354,150000000,PG-13,28.353,4104,6.4
Animation,The Curious Case of Benjamin Button,603900354,150000000,PG-13,28.353,4104,6.4
Comedy,The Curious Case of Benjamin Button,603900354,150000000,PG-13,28.353,4104,6.4
Animation,Cloverfield,521311860,180000000,PG-13,28.548000000000002,11568,8.0
Family,Cloverfield,521311860,180000000,PG-13,28.548000000000002,11568,8.0
Science Fiction,Cloverfield,521311860,180000000,PG-13,28.548000000000002,11568,8.0
Adventure,Ballet Shoes,586090727,200000000,PG,22.076999999999998,4745,6.2
Action,Ballet Shoes,586090727,200000000,PG,22.076999999999998,4745,6.2
Thriller,Ballet Shoes,586090727,200000000,PG,22.076999999999998,4745,6.2
Crime,Ballet Shoes,586090727,200000000,PG,22.076999999999998,4745,6.2
Science Fiction,Avatar,163712074,150000000,PG-13,20.352999999999998,6856,6.2
Action,Avatar,163712074,150000000,PG-13,20.352999999999998,6856,6.2
Adventure,Avatar,163712074,150000000,PG-13,20.352999999999998,6856,6.2
Action,Terminator Salvation,0,10000000,PG-13,20.592,1940,6.5
Thriller,Terminator Salvation,0,10000000,PG-13,20.592,1940,6.5
Adventure,Harry Potter and the Half-Blood Prince,631744560,130000000,PG,19.397000000000002,6612,7.1
Animation,Harry Potter and the Half-Blood Prince,631744560,130000000,PG,19.397000000000002,6612,7.1
Family,Harry Potter and the Half-Blood Prince,631744560,130000000,PG,19.397000000000002,6612,7.1
Comedy,Harry Potter and the Half-Blood Prince,631744560,130000000,PG,19.397000000000002,6612,7.1
War,Zombieland,20416563,12500000,R,13.315,3863,7.8
Drama,Zombieland,20416563,12500000,R,13.315,3863,7.8
Adventure,Watchmen,786636033,185000000,R,18.948,4819,5.9
Action,Watchmen,786636033,185000000,R,18.948,4819,5.9
Animation,Inglourious Basterds,0,0,R,17.819000000000003,419,7.1
Family,Inglourious Basterds,0,0,R,17.819000000000003,419,7.1
